"","Q8","STEM_Non-STEM","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q22","Q23","Q24","finance","infotech","space","library","lab","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q33","htopicmen","hresearchmen","hwritingmen","hacadmen","hnonacadmen","hemploymen","Q38","Q39","Q40","Q42","Q43","Q45","Q46","Q47","Q48","Q49","Q78","Q90_1","Q90_2","Q92_1","Q99","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","Sex_ANOVA_Code","Citizenship_ANOVA_Code","Hispanic_Latino_ANOVA_Code","Race_Ethnicy_ANOVA_Code","Underrepresented"
"30","College C","STEM","Good","Very good","Very good","Disagree","Agree","Strongly Agree","Strongly Agree","Maybe","Probably not","Probably not","Poor","Fair","Fair","Very good","Excellent","Very good","Good","Yes, and I attended","Very Effective","Yes","No","Excellent","Excellent","Good","Excellent","Poor","Very helpful","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Not at all helpful","Yes","Yes","Very helpful","0","5","Yes","5","2","Have signed contract or made definite commitment for a ""postdoc"" or other work",NA,NA,"Scientists, Social Scientists","Yes","Maybe","Probably not","Probably not","Good","Fair","Fair","Good","Excellent","Excellent","Good","Disagree","Agree","Agree","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle",1,1,2,4,"Non-Underrespresented Group"
"31","College C","STEM","Excellent","Very good","Excellent","Strongly Agree","Agree","Ambivalent","Ambivalent","Probably","Probably","Probably","Excellent","Excellent","Excellent","Very good","Good","Good","Excellent","No",NA,"Yes","Yes","Excellent","Excellent","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Not at all helpful","No","Yes","Very helpful","3","2","No","1","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Other","Health Care","Scientists, Social Scientists","Yes","Probably","Probably","Probably","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Agree","Ambivalent","Ambivalent","A minor obstacle","A minor obstacle","A minor obstacle","A major obstacle","A minor obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"32","College B","STEM","Poor","Fair","Poor","Strongly Disagree","Agree","Ambivalent","Strongly Agree","Definitely not","Maybe","Definitely not","Good","Poor","Poor","Good","Good","Poor","Fair","Yes, and I attended","Somewhat Ineffective","Yes","Yes","Poor","Fair","Fair","Poor","Fair","Not very helpful","Not very helpful","Not very helpful","Not at all helpful","Not at all helpful","Not at all helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Not very helpful","Yes","Yes","Somewhat helpful","5","4","Yes","10","5","Negotiating with one or more specific organizations","Other",NA,"Scientists, Social Scientists","Yes","Definitely not","Probably","Definitely not","Fair","Fair","Poor","Fair","Good","Poor","Poor","Strongly Disagree","Ambivalent","Disagree","Agree","A major obstacle","A major obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle",3,1,2,6,"Non-Underrespresented Group"
"33","College C","Non-STEM","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Yes, and I attended","Somewhat Effective","Yes","Yes","Good","Excellent","Excellent","Excellent","N/A","Very helpful","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","Yes","Yes",NA,NA,NA,NA,NA,NA,"Yes","Very helpful","Yes","Yes","Somewhat helpful","3","10","Yes","3","1","Other - Specify:","Education","4-year college or university",NA,"Yes","Probably","Probably","Probably","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","A minor obstacle","A major obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not applicable",2,1,2,5,"Non-Underrespresented Group"
"34","College B","STEM","Very good","Very good","Very good","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Probably","Definitely","Definitely","Very good","Very good","Very good","Very good","Very good","Excellent","Very good","Yes, and I attended","Somewhat Effective","Yes","Yes","Very Good","Very Good","Very Good","Excellent","Very Good","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Very helpful","N/A - I did not receive advice on this","Very helpful","Yes","Somewhat helpful","Yes","No",NA,"10","3","Yes","3","0","Have signed contract or made definite commitment for a ""postdoc"" or other work",NA,NA,NA,"Yes","Probably","Definitely","Definitely","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Agree","Agree","Agree","Agree","A minor obstacle","Not applicable","Not an obstacle","Not an obstacle","Not an obstacle","Not applicable",2,1,2,5,"Non-Underrespresented Group"
"35","College C","STEM","Good","Good",NA,"Agree","Agree","Ambivalent","Agree","Maybe","Probably not","Probably","Very good","Very good","Very good","Good","Fair","Poor","Good","Yes, and I attended","Somewhat Effective","Yes","No","Very Good","Very Good","Good","Very Good","Very Good","Very helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","No","Yes","Very helpful","0","4","Yes","3","1","Seeking position but have no specific prospects","Public Administration (Government)","Environmental Quality Programs",NA,"Yes","Probably","Maybe","Probably","Good","Very good","Very good","Good","Fair","Poor","Good","Agree","Agree","Ambivalent","Agree","Not an obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"36","College C","STEM","Excellent","Excellent","Excellent","Agree","Agree","Agree","Strongly Agree","Definitely","Definitely","Definitely","Good","Good","Good","Good","Good","Good","Good","I don't remember",NA,"Yes","Yes","Excellent","Excellent","Excellent","Good","Fair","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","Yes","Yes","Very helpful","5","8","Yes","6","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Definitely","Definitely","Definitely","Good","Good","Excellent","Very good","Good","Very good","Very good","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"37","College C","Non-STEM","Very good","Fair","Good","Strongly Agree","Strongly Agree","Agree","Agree","Probably","Definitely","Probably","Very good","Very good","Good","Good","Very good","Good","Very good","Yes, and I attended","Somewhat Effective","Yes","No","Good","Very Good","Good","Very Good","Good","Very helpful","Very helpful","Not very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Yes","Very helpful","Somewhat helpful","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Very helpful","Yes","No",NA,"5","3","Yes","1","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Other",NA,"Legal Occupations","Yes","Probably","Definitely","Probably","Excellent","Very good","Good","Very good","Very good","Good","Very good","Strongly Agree","Strongly Agree","Agree","Agree","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"38","College F","STEM","Very good","Good","Very good","Strongly Agree","Agree","Agree","Agree","Maybe","Maybe","Probably","Good","Very good","Good","Very good","Fair","Poor","Very good","Yes, and I attended","Somewhat Effective","Yes","Yes","Good","Excellent","Excellent","Very Good","Excellent","Somewhat helpful","Somewhat helpful","Not very helpful","Not at all helpful","Not at all helpful","N/A - I did not receive advice on this","Yes","Yes","N/A - I did not receive advice on this","Somewhat helpful","Somewhat helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Somewhat helpful","Yes","Somewhat helpful","Yes","Yes","Very helpful","2","1","Yes","0","0","Seeking position but have no specific prospects",NA,NA,NA,"Yes","Maybe","Maybe","Probably","Good","Very good","Poor","Good","Good","Poor","Very good","Strongly Agree","Agree","Agree","Agree","Not an obstacle","Not an obstacle","A major obstacle","Not an obstacle","Not an obstacle","Not applicable",1,1,2,5,"Non-Underrespresented Group"
"39","College B","STEM","Very good","Good","Good","Agree","Agree","Ambivalent","Agree","Maybe","Probably","Maybe","Good","Very good","Good","Very good","Excellent","Very good","Very good","No",NA,"Yes","No","Good","Very Good","Excellent","Excellent","Excellent","Very helpful","Somewhat helpful","Not very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Yes","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","No",NA,"No","No",NA,"4","2","Not applicable","0","1","Other full-time degree program (e.g., MD, DDS, JD, MBA, etc.)","Other","Health Care","Healthcare Practitioners","Yes","Maybe","Probably","Maybe","Good","Very good","Good","Good","Excellent","Very good","Very good","Agree","Agree","Agree","Agree","Not an obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"40","College F","STEM","Very good","Very good","Very good","Agree","Agree","Agree","Strongly Agree","Probably","Definitely","Definitely","Very good","Very good","Very good","Excellent","Fair","Very good","Very good","Yes, and I attended","Very Effective","Yes","No","Very Good","Very Good","Very Good","Very Good","N/A","Very helpful","Somewhat helpful","Very helpful","Somewhat helpful","N/A - I did not receive advice on this","Somewhat helpful","Yes","Yes","Somewhat helpful","Very helpful","Very helpful","Somewhat helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Somewhat helpful","Yes","Yes","Very helpful","8","10","Yes","1","2","Negotiating with one or more specific organizations","Education","University-affiliated research institute","Scientists, Social Scientists","No","Probably","Definitely","Definitely","Very good","Very good","Very good","Excellent","Fair","Very good","Very good","Agree","Agree","Agree","Strongly Agree","A minor obstacle","A minor obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"41","College C","STEM","Very good","Fair","Good","Agree","Ambivalent","Ambivalent","Strongly Agree","Probably","Definitely","Definitely","Excellent","Very good","Good","Good","Very good","Good","Very good","Yes, and I attended","Somewhat Effective","No","Yes","Excellent","Excellent","Poor","Good","Fair","Very helpful","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Somewhat helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Somewhat helpful","N/A - I did not receive advice on this","Somewhat helpful","No",NA,"No","Yes","Very helpful","8","20","Yes","5","2","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","University-affiliated research institute","Scientists, Social Scientists","Yes","Probably","Definitely","Definitely","Very good","Very good","Very good","Good","Very good","Very good","Very good","Ambivalent","Agree","Ambivalent","Strongly Agree","Not an obstacle","A minor obstacle","A major obstacle","A minor obstacle","A minor obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"42","College C","Non-STEM","Very good","Fair","Good","Agree","Ambivalent","Ambivalent","Agree","Maybe","Definitely","Probably","Good","Good","Excellent","Good","Fair","Poor","Very good","Yes, and I attended","Very Ineffective","No","No","Poor","N/A","Fair","Fair","N/A","Very helpful","Very helpful","Very helpful","Very helpful","Not very helpful","Somewhat helpful","Yes","Yes","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Somewhat helpful","No","Yes","Somewhat helpful","0","5","Yes","0","0","Seeking position but have no specific prospects","Education","4-year college or university","Education, Training, and Library Occupations","Yes","Maybe","Definitely","Probably","Good","Good","Excellent","Very good","Good","Fair","Good","Agree","Ambivalent","Ambivalent","Agree","A major obstacle","Not an obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not applicable",2,1,2,5,"Non-Underrespresented Group"
"43","College C","STEM","Excellent","Very good","Excellent","Agree","Agree","Agree","Agree","Definitely","Definitely","Definitely","Very good","Very good","Very good","Excellent","Excellent","Very good","Excellent","Yes, and I attended","Very Effective","Yes","Yes","N/A","N/A","Poor","Excellent","Good","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes","No",NA,"3","7","Not applicable","3","1","Returning to, or continuing in, predoctoral employment","Other","Health Care","Scientists, Social Scientists","Yes","Definitely","Definitely","Definitely","Very good","Very good","Very good","Excellent","Excellent","Very good","Excellent","Agree","Agree","Agree","Agree","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
